wl;refl
400;-0.078073
400.195408;-0.040541
400.390816;0.11262
400.586224;0.23355
400.781632;-0.22348
400.97704;-0.011864
401.172447;0.14928
401.367855;0.087302
401.563263;0.059859
401.758671;0.043578
401.954079;0.0089286
402.149487;-0.1254
402.344895;-0.44611
402.540303;-0.015317
402.735711;0.040945
402.931119;-0.25
403.126527;-0.25951
403.321935;-0.13775
403.517342;0.17927
403.71275;0.0042553
403.908158;0.0082645
404.103566;-0.11504
404.298974;-0.18519
404.494382;-0.013093
404.68979;0.039655
404.885198;-0.10835
405.080606;-0.15591
405.276014;0.2381
405.471422;-0.27755
405.66683;-0.16023
405.862237;0.0051546
406.057645;-0.068522
406.253053;-0.14576
406.448461;0.012945
406.643869;-0.23582
406.839277;0.2124
407.034685;0.081833
407.230093;-0.32237
407.425501;-0.16899
407.620909;0.0015015
407.816317;0.048265
408.011724;-0.087129
408.207132;-0.095335
408.40254;-0.090226
408.597948;0.057192
408.793356;0.028933
408.988764;0.064205
409.184172;-0.10969
409.37958;0.0068027
409.574988;-0.13667
409.770396;-0.068468
409.965804;-0.26923
410.161212;-0.26614
410.356619;0.034549
410.552027;0.36513
410.747435;-0.040698
410.942843;-0.10505
411.138251;-0.11816
411.333659;0.0032
411.529067;-0.20377
411.724475;0.047863
411.919883;0.15588
412.115291;-0.081466
412.310699;-0.29622
412.506106;-0.29821
412.701514;0.18655
412.896922;0.16618
413.09233;-0.17174
413.287738;-0.042934
413.483146;-0.081942
413.678554;0.044747
413.873962;-0.17816
414.06937;0.021776
414.264778;0.08744
414.460186;0.011321
414.655594;0.06
414.851001;-0.095395
415.046409;0.1401
415.241817;156
415.437225;16
415.632633;0.19163
415.828041;-0.44244
416.023449;0
416.218857;0.027687
416.414265;-0.16043
416.609673;-0.0096899
416.805081;0.041219
417.000489;0.012618
417.195896;-0.20331
417.391304;-0.74359
417.586712;0.068259
417.78212;-0.033868
417.977528;0.18873
418.172936;0.20284
418.368344;0.010776
418.563752;-102
